"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate"
"btcoidIDR","IDR",225052000,225053000,247749000,225053000,608.00350639,142610958259.16583,13563
"localbtcUSD","USD",1482443.24,14486.92,70001.05,17701.09,129.51065367,1982299.7500146944,"no data"
"zyadoEUR","EUR",11429.66,11515.04,,11429.66,0,0,0.832704
"localbtcDKK","DKK",122253.89,90558.44,136338.37,104934,0.26858883,26129.9996006299,6.20046
"localbtcPLN","PLN",53287.13,61385.27,67806.72,48963.15,0.62350722,31130.9099511121,3.477304
"bit2cILS","ILS",55502.78,56190,59000,56190,33.16541379,1867358.3145980793,3.467504
"itbitUSD","USD",14452.38,14457.8,15063.26,14459.5,2666.8579,38599168.678707,"no data"
"itbitSGD","SGD",19328.21,19335.33,20131.82,19274.68,9.653,185454.890575,1.33689
"itbitEUR","EUR",12037.91,12040.38,12604.14,12025.86,11.448,137612.025072,0.832704
"korbitKRW","KRW",19002000,19002500,19600000,19002000,4056.143723816551,77457941877.61554,1065.72998
"bitbayUSD","USD",15502,15705.87,15863,15502,14.32073368,218796.5258686057,"no data"
"bitbayPLN","PLN",53270,53290,54540,53270,1050.08834669,55684884.42504317,3.477304
"bitbayEUR","EUR",12621,12848,13050.67,12610,15.9946804,201496.3952058997,0.832704
"anxhkEUR","EUR",334.58273,345.82794,,215.56602,0,0,0.832704
"anxhkJPY","JPY",41227.18171,49140.39218,,29436.14898,0,0,112.636002
"anxhkSGD","SGD",514.28762,544.96262,,341.72994,0,0,1.33689
"rippleXRP","XRP",71364.470696,71467.407897,,69707.30562378,0,0,"no data"
"rippleUSD","USD",342.87015289,347.86740437,,327.42057115,0,0,"no data"
"btcxchangeRON","RON",1155.36,1169.07,,1800,0,0,3.878504
"1coinUSD","USD",222.8,223,,253.8,0,0,"no data"
"coinfloorGBP","GBP",10805,10840,11250,10864,537.8787,5820504.287,0.73998
"localbtcSEK","SEK",136470.37,119710.85,200477.06,113725.31,13.85673154,1655918.0743289208,8.19396
"mtgoxAUD","AUD",146.43629,154.03896,,144.30206,0,0,1.280604
"mtgoxCNY","CNY",803.10299,844.79843,,784.38437,0,0,6.506204
"mtgoxNZD","NZD",158.77756,167.02096,,151,0,0,1.410204
"localbtcRUB","RUB",99999999999999.98,750500,1501050.74,879563.85,241.16776967,220743482.7384409,57.576801
"bitstampUSD","USD",14421.52,14459.99,15111,14468,13704.10118646,197939303.22443843,"no data"
"btcmarketsAUD","AUD",19675.37,19779.9,20788.78,19675.37,719.11753868,14351319.79107235,1.280604
"localbtcARS","ARS",364800.49,310000,440901.56,312514.43,2.5234325,817235.331023862,18.593041
"localbtcNOK","NOK",120065.04,122826.53,146848.05,123214.24,7.7111904,958977.7702190325,8.20348
"anxhkCAD","CAD",506.83788,536.04429,,317.0868,0,0,1.25491
"anxhkGBP","GBP",254.60483,262.41894,,159.85388,0,0,0.73998
"anxhkHKD","HKD",2857.95853,2919.4307,,1907.33658,0,0,7.81278
"anxhkUSD","USD",369.74229,372.87118,,244.85695,0,0,"no data"
"localbtcGBP","GBP",32492.97,7731,43632.56,10871.11,160.74263659,1807602.012055361,0.73998
"virwoxSLL","SLL",3750000,3779999,,3779999,0,0,7630.000339
"fybseSEK","SEK",110708.15,129410.96,122923.65,122923.65,0.026,3196.0149,8.19396
"krakenUSD","USD",14402.6,14409.2,15198.5,14463.9,3256.98877058,47606503.8794256,"no data"
"mrcdBRL","BRL",50201,50379,52150,50379,405.83625224,20400735.42534778,3.311904
"fybsgSGD","SGD",21080.02,21998.99,22222,21080.02,30.95964331,664787.9868181138,1.33689
"localbtcTHB","THB",533999,476298.21,583114.84,516317.44,6.22158732,3247888.664941776,32.549999
"localbtcSGD","SGD",24450,20521.91,23651.01,20765.63,14.99467724,288966.389809701,1.33689
"localbtcHKD","HKD",137055.68,118366.27,133916.01,114269.33,4.95219977,624261.3311352942,7.81278
"localbtcILS","ILS",52784.17,50754.01,76999.98,61603.92,0.06663798,4377.9999612733,3.467504
"localbtcCZK","CZK",302051.82,335924.95,384338.07,286097.61,0.23378771,74173.1102669208,21.271799
"localbtcMXN","MXN",431861.76,285028.76,443808.32,327133.07,2.72574315,870724.599065449,19.645104
"localbtcCHF","CHF",20583.56,14337.51,17594.79,15757.06,1.23937091,19011.6801670361,0.97461
"vcxUSD","USD",1500.00000101,6500,6500,6500,0.003559,23.1335,"no data"
"mtgoxSGD","SGD",166.9763,175.64537,,200,0,0,1.33689
"mtgoxHKD","HKD",1021.5348,1074.57077,,1001,0,0,7.81278
"mtgoxEUR","EUR",95.89175,98.41,,95.89175,0,0,0.832704
"mtgoxSEK","SEK",857.004,901.498,,1046.411,0,0,8.19396
"kptnSEK","SEK",3200,3468.465,,3468.465,0,0,8.19396
"rockUSD","USD",13800,16368.59,15200,14400,0.6159,8854.713302,"no data"
"lakeUSD","USD",15180.17,15238.48,15558.96,15177.9,127.115603,1900859.01766433,"no data"
"localbtcZAR","ZAR",243000,203465.78,300007.5,207000.01,15.53032096,3023491.5465505905,12.374037
"localbtcBRL","BRL",68055.71,9900,87054.17,52899,2.94496967,155932.2016670665,3.311904
"weexAUD","AUD",880,890,,890,0,0,1.280604
"virtexCAD","CAD",548,550,,550,0,0,1.25491
"rmbtbCNY","CNY",1000,5898,,5177.36,0,0,6.506204
"justNOK","NOK",1100,2298,,2058,0,0,8.20348
"justEUR","EUR",150.014,285.249,,150.02,0,0,0.832704
"crytrEUR","EUR",210.00000007,297.9999999,,481.12,0,0,0.832704
"cbxUSD","USD",649,650,,1248,0,0,"no data"
"btceRUR","RUB",153205.96155,154057.54522,,154032.52253,0,0,57.576801
"btceEUR","EUR",2222.4,2231.30634,,2226.85317,0,0,0.832704
"btc24EUR","EUR",412,503,,412,0,0,0.832704
"bitcurexEUR","EUR",569.9902,595.8599,,573,0,0,0.832704
"krakenEUR","EUR",12307.8,12319.1,12689.6,12318.7,5552.40906606,68145071.46997724,0.832704
"mtgoxDKK","DKK",715.58259,752.73415,,1000,0,0,6.20046
"mtgoxRUB","RUB",4683.28589,4926.4324,,5899.99,0,0,57.576801
"mtgoxTHB","THB",4017.40562,4830.52184,,3500,0,0,32.549999
"mtgoxCHF","CHF",117.07424,123.15249,,100,0,0,0.97461
"mtgoxJPY","JPY",13659.07,14191.435,,13959.262,0,0,112.636002
"mtgoxGBP","GBP",79.07713,83.18265,,81.82177,0,0,0.73998
"intrsngGBP","GBP",271.3998,376.17865,,376.17865,0,0,0.73998
"localbtcCAD","CAD",55015.95,18338.65,50000,22516.16,6.99374145,133241.870320335,1.25491
"localbtcNZD","NZD",23230.47,20377.6,42201.39,25175.44,6.31142135,140837.3205241871,1.410204
"localbtcAUD","AUD",55882.76,19000.14,63572.79,17651,18.0676893,371026.2397738867,1.280604
"vcxEUR","EUR",1000,6400,,6400,0,0,0.832704
"localbtcEUR","EUR",36671.28,11250.65,122329.91,18795.67,45.4051673,552204.0498446655,0.832704
"bitmarketEUR","EUR",12610,12727.4531,12779.6116,12618.5298,1.46748439,18206.64317917449,0.832704
"nevbitPLN","PLN",42377.88,63499.99,54102.61,52591.53,48.24284667,2547943.131739216,3.477304
"btcdeEUR","EUR",12475,12475,29985.01,12475,641.01807908,7920520.583800136,0.832704
"krakenLTC","LTC",161.34427,162.06659,,160.565,0,0,"no data"
"justLTC","LTC",83.85,200,,95.086,0,0,"no data"
"btceUSD","USD",2546,2546.78,,2546,0,0,"no data"
"bitnzNZD","NZD",1200,2000,,2000,0,0,1.410204
"bitcurexPLN","PLN",1227.5,1240,,2289,0,0,3.477304
"bitaloEUR","EUR",6900,306,,200,0,0,0.832704
"bitkonanUSD","USD",14800.1,15389.99,15410,14874.12,2.29529506,33922.2628009803,"no data"
"intrsngEUR","EUR",316.54185,419,,308.01092,0,0,0.832704
"localbtcINR","INR",10180522892.15,971688.85,1800007.2,1176825.02,12.52904213,14105158.380152455,63.830002
"mtgoxPLN","PLN",484.86703,517.15322,,403.05837,0,0,3.477304
"mtgoxCAD","CAD",146.16779,153.75652,,120.01,0,0,1.25491
"hitbtcEUR","EUR",2501.31,4499.99,,4499.99,0,0,0.832704
"hitbtcUSD","USD",7906.62,7910,,7915.48,0,0,"no data"
"btcnCNY","CNY",28158,28399.99,,28158,0,0,6.506204
"btceurEUR","EUR",357.7,403.82,,255,0,0,0.832704
"bitmarketPLN","PLN",52260.0009,52639.9999,53945,52685.7388,181.32075529,9387280.13089958,3.477304
"coinbaseUSD","USD",14489.28,14489.29,15105.34,14500,19169.2247997,278330629.422015,"no data"
"krakenCAD","CAD",18588.6,19195,19635.7,18552.1,28.01926246,520805.489507653,1.25491
"coinbaseGBP","GBP",10970.89,10985.76,11307.5,10903.44,473.24482613,5111440.47490085,0.73998
"coinbaseEUR","EUR",12899.32,12899.33,13099,12929,2939.42873037,37548547.74931961,0.832704
"btcalphaUSD","USD",1000000,0.016,15105,14399,281.450249,4043881.199212939,"no data"
"rockEUR","EUR",11849.04,11918.88,12585,11918.89,254.2071,3042826.650191,0.832704
"btccUSD","USD",14750,15470,15600,14701,20.067,297927.130737,"no data"
"coincheckJPY","JPY",1706010,1706358,1778003,1706634,37494.82118419,64232071134.240395,112.636002
"bitstockCZK","CZK",316007,349000,332000,325000,0.7865249,259528.942595,21.271799
"localbtcVND","VND",348057333.19,382997657.15,378136062.74,327944624.79,2.05304783,747190742.3498139,22699
"bitxIDR","IDR",230900000,232000000,244990000,232000000,4.660187,1097376083.543,13563
"bitxMYR","MYR",69142,69200,69550,69200,122.460949,8463900.37141,4.044039
"bitxNGN","NGN",5655381,5657000,5799985,5658000,36.404612,202712256.402435,356.000344
"bitxZAR","ZAR",205187,205188,216998,205187,722.169902,149448842.543386,12.374037
"krakenJPY","JPY",1700000,1732990,1799997,1732990,5.09933447,8736701.35486906,112.636002
"cexUSD","USD",15155.54,15177.86,16300,15204.38,1962.17008292,30588811.709007725,"no data"
"krakenXRP","XRP",103600.64,104931.794,,103842.161,0,0,"no data"
"krakenNMC","NMC",1186.11298,1271.46,,1271.46148,0,0,"no data"
"krakenKRW","KRW",495000,545000,,525142,0,0,1065.72998
"justUSD","USD",290,450,,303.132,0,0,"no data"
"crytrUSD","USD",242.99900009,264.99999999,,625,0,0,"no data"
"cotrUSD","USD",411.4,473.99,,391.98,0,0,"no data"
"coinbaseCAD","CAD",855,861.74,,861.74,0,0,1.25491
"bitfinexUSD","USD",614.44,614.45,,853.48,0,0,"no data"
"bitcurexUSD","USD",615.03,642.8355,,629.1547,0,0,"no data"
"exmoUSD","USD",778.59,782,,782.324888,0,0,"no data"
"exmoRUB","RUB",47468.0010101,47619.9989899,,47435.0010101,0,0,57.576801
"exmoEUR","EUR",736.186,739.979,,737.571,0,0,0.832704
"cexEUR","EUR",12500.61,12605.91,13199,12605.91,180.96081218,2290416.05826419,0.832704
"cexRUB","RUB",910010.24,949911.11,1000000,949911.11,6.01883505,5671998.949518072,57.576801
"coinsbankUSD","USD",14050,14400,15000,14194.99,2132.2483,30353723.121291,"no data"
"coinsbankEUR","EUR",12000,12200,13194.85,12164.61,1913.478,22803682.93714,0.832704
