"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"btcoidIDR","IDR",240226000,240998000,,,256500000,240996000,,711.01639247,175709404877.74545
"localbtcUSD","USD",1462214.8,14273.38,,,70001.62,17004.38,,139.69619851,2104441.971576557
"zyadoEUR","EUR",11429.66,11515.04,,,,11429.66,,0,0
"btchkexHKD","HKD",,,,,,572,,0,0
"bitboxUSD","USD",,,,,,125,,0,0
"bidxtrmPLN","PLN",,,,,,1751,,0,0
"b7USD","USD",,,,,,4.75,,0,0
"bbmBRL","BRL",,,,,,18,,0,0
"cryptoxAUD","AUD",,,,,,22,,0,0
"ruxumAUD","AUD",,,,,,4.25,,0,0
"ruxumCHF","CHF",,,,,,3,,0,0
"ruxumEUR","EUR",,,,,,5,,0,0
"ruxumGBP","GBP",,,,,,2.5,,0,0
"ruxumHKD","HKD",,,,,,29,,0,0
"bitmeUSD","USD",,,,,,86,,0,0
"cryptoxUSD","USD",,,,,,13.35,,0,0
"localbtcDKK","DKK",119831.83,92178.33,,,107390.47,97369.35,,1.05857413,95375.0004254122
"localbtcPLN","PLN",52054.6,60025.69,,,67805.34,60242.66,,1.46883368,73300.0001840443
"bcmPXGAU","GAU",,,,,,0.2,,0,0
"bitfloorUSD","USD",,,,,,100,,0,0
"bitomatPLN","PLN",,,,,,29.2,,0,0
"britcoinGBP","GBP",,,,,,3.6627,,0,0
"btc24USD","USD",,,,,,73,,0,0
"btcexEUR","EUR",,,,,,3.9,,0,0
"btcexJPY","JPY",,,,,,1,,0,0
"btcexRUB","RUB",,,,,,199,,0,0
"btcexUSD","USD",,,,,,6.8011,,0,0
"btcexWMR","RUB",,,,,,155,,0,0
"btcexWMZ","USD",,,,,,5.1,,0,0
"btcexYAD","RUB",,,,,,132.0001,,0,0
"bit2cILS","ILS",57877.25,58000,,,58599.98,58000,,36.57222768,2065199.2269045294
"itbitUSD","USD",14976.3,14980.1,,,15063.26,14971.11,,3386.7422,47858133.218527
"itbitSGD","SGD",20011.13,20018.84,,,20131.82,19844.5,,21.6162,407390.384507
"itbitEUR","EUR",12527.69,12531.69,,,12604.14,12521.47,,25.0059,295768.554866
"korbitKRW","KRW",19135000,19194500,,,20400000,19130000,,3659.236015547032,71340893530.95663
