"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value"
"btcoidIDR","IDR",214178000,214179000,225901000,214179000,733.18,155608723269.55,0,15789.02,15789.09
"localbtcUSD","USD",15000000,2790,100000,12322.26,52.46,785739.02,"N/A","N/A","N/A"
"localbtcDKK","DKK",107557.5,78223.64,93444.83,78403.12,0.62,50851.49,0.16,17342.36,12612.63
"localbtcPLN","PLN",46541.51,52658.4,52646.75,44500.05,1.32,62950,0.29,13372.44,15129.97
"bit2cILS","ILS",51810,51999.96,55150,51810,45.23,2342392.45,0.29,14908.48,14963.14
"itbitUSD","USD",12714.87,12717.92,14050,12721.44,2009.23,26593937.15,"N/A","N/A","N/A"
"itbitSGD","SGD",16989.4,16995.74,18701.16,17306.6,29.39,512667.99,0.75,12713.57,12718.32
"itbitEUR","EUR",10597.23,10602.08,11650.79,10695.34,29.88,324265.62,1.2,12718.65,12724.47
"korbitKRW","KRW",18450500,18460000,19500000,18458000,3040.96,56857744401.96,0,17310.27,17319.19
"bitbayUSD","USD",13750,13775.61,15289.99,13750,17.8,251008.18,"N/A","N/A","N/A"
"bitbayPLN","PLN",46796.54,46874,53000,46765.26,1289.33,63251760.37,0.29,13445.72,13467.98
"bitbayEUR","EUR",11007,11520.24,12800,11112,83.81,994070.14,1.2,13210.45,13826.43
"coinfloorGBP","GBP",9418,9440,10694,9426,542.69,5294099.88,1.35,12716.37,12746.08
"localbtcSEK","SEK",122121.21,107123.87,169995.75,116000,18.24,2014932.52,0.12,14931.97,13098.22
"localbtcRUB","RUB",99999999999999.98,713155.85,1291800,909570.5,219.21,191141437.11,0.02,1734394752859.24,12368.94
"bitstampUSD","USD",12696.35,12725.6,13796.66,12714.74,17694.1,228943536.83,"N/A","N/A","N/A"
"btcmarketsAUD","AUD",17505.73,17545.37,19064.99,17505.73,766.39,13758095.09,0.78,13684.86,13715.85
"localbtcARS","ARS",318129.4,293657.91,408446.68,264038.89,0.4,120958.55,0.05,17110.13,15793.97
"localbtcNOK","NOK",106238.72,107499.72,133338.67,108232.49,1.87,209940.39,0.12,12963.05,13116.91
"localbtcGBP","GBP",28975.22,5650,17616.39,12050.9,138.76,1466991.6,1.35,39122.92,7628.74
"virwoxSLL","SLL",3750000,3779999,,3779999,0,0,0,491.48,495.41
"fybseSEK","SEK",98000.14,117000,120144,115000,0.17,20121.3,0.12,11982.65,14305.79
"krakenUSD","USD",12701.6,12701.6,13998.9,12652.3,3556.08,46153269.01,"N/A","N/A","N/A"
"mrcdBRL","BRL",46700,46787.77,50486.92,46787.77,442.03,20780510.6,0.3,14100.65,14127.15
