"Symbol","Currency","Bid","Ask","High","Close","Volume","Currency volume","Conversion Rate","USD Bid Value","USD Ask Value","Bid ARB","Ask ARB"
"zyadoEUR","EUR",12724.11,12730.06,12869.86,12730.06,2496.34,31392229.06,1.2,15280.66,15287.8,1.01,1.01
"itbitEUR","EUR",12780.45,12785.47,12757.47,12757.47,4.37,54584.66,1.2,15348.32,15354.34,1.01,1.01
"bitbayEUR","EUR",12800.01,13121.5,13334.98,13113.43,16.31,212405.82,1.2,15371.81,15757.89,1.01,1.04
"krakenEUR","EUR",12770,12786,12887,12789,5046.08,63502378.17,1.2,15335.77,15354.98,1.01,1.01
"vcxEUR","EUR",726,6400,,6400,0,0,1.2,871.87,7685.9,0.06,0.51
"localbtcEUR","EUR",37858.96,11627.75,29134.02,14059,50.73,631349.11,1.2,45465.63,13964.01,3,0.92
"bitmarketEUR","EUR",12814.04,13186.35,13318.52,12811.62,5.43,69889.28,1.2,15388.66,15835.77,1.01,1.04
"btcdeEUR","EUR",12700.99,12720,16320,12788.2,822.08,10408972.31,1.2,15252.89,15275.72,1.01,1.01
"coinbaseUSD","USD",15171.2,15171.21,15400,15369.51,18410.13,276597306.11,"N/A","N/A","N/A",,
"coinbaseEUR","EUR",13016,13016.08,13198,13100,3519.97,45593354.23,1.2,15631.19,15631.29,1.03,1.03
"rockEUR","EUR",12335.97,12374.96,12390,12373,144.68,1753705.71,1.2,14814.53,14861.35,0.98,0.98
"cexEUR","EUR",13122.28,13169.77,13270,13172,243.44,3153917.09,1.2,15758.83,15815.86,1.04,1.04
"coinsbankEUR","EUR",12433.04,12600,12967.43,12549.72,1655.78,20355040.27,1.2,14931.1,15131.61,0.98,1
"bcEUR","EUR",12675.03,12941.95,13190,12941.95,19.46,249035.19,1.2,15221.71,15542.26,1,1.02
"coinfalconEUR","EUR",13107.05,13107.05,13300,13107.05,178.03,2300049.4,1.2,15740.54,15740.54,1.04,1.04
"wexEUR","EUR",13050.12,13078.31,13097.14,13097.14,67.05,861041.26,1.2,15672.17,15706.02,1.03,1.04
"abucoinsEUR","EUR",13091.65,13232.15,13257.41,13178.01,14.68,190323.35,1.2,15722.04,15890.77,1.04,1.05
